company_name,auditor_switch_date_raw,auditor_switch_date,auditor_switch_date_status,report_publication_date_raw,report_publication_date,report_publication_date_status,event_date_basis,event_date_raw,event_date,event_year,event_month,event_date_status,event_is_future,price_extraction_eligibility,old_auditor,new_auditor,from_big4,to_big4,switch_type,data_status,source_row_number,is_duplicate_company_event,stock_price_before_raw,stock_price_after_raw,reported_stock_change_raw,stock_price_before,stock_price_after,reported_stock_change,implied_return,reported_vs_implied_diff,price_consistency_flag,raw__unnamed_1,raw__חברה,raw__תאריך החלפה,raw__תאריך פרסום דוחות,raw__מחיר מניה לפני,raw__מחיר מניה אחרי,raw__שינוי באחוזים,raw__תשואת תיק השוק,raw__תשואה חריגה,raw__גודל החברה,raw__מעבר מbig4,raw__מעבר לbig4,raw__roe,raw__מינוף,raw__סך הנכסים,raw__הון עצמי,raw__רווח
אקסיליון,2020-09-08 00:00:00,2020-09-08,OK,26/03/2021,2021-03-26,OK,auditor_switch_date,2020-09-08 00:00:00,2020-09-08,2020,9,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,27,False,,,,,,,,,NOT_ENOUGH_DATA,25,אקסיליון,2020-09-08 00:00:00,26/03/2021,,,,,,17.57,0,0,-7.659,0.16,42563000,36757000,-281543000
בוני תיכון,2020-02-08 00:00:00,2020-02-08,OK,25/03/2021,2021-03-25,OK,auditor_switch_date,2020-02-08 00:00:00,2020-02-08,2020,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,28,False,,,,,,,,,NOT_ENOUGH_DATA,26,בוני תיכון,2020-02-08 00:00:00,25/03/2021,,,,,,20.01,1,0,-0.079,3.28,492098000,114915000,-9094000
ישראל קנדה מלונות,2025-10-11 00:00:00,2025-10-11,OK,24.03.2026,2026-03-24,OK,auditor_switch_date,2025-10-11 00:00:00,2025-10-11,2025,10,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,29,False,,,,,,,,,NOT_ENOUGH_DATA,27,ישראל קנדה מלונות,2025-10-11 00:00:00,24.03.2026,,,,,,21.37,0,0,0.074,3.76,1902737000,399985000,29723000
נקסטייג׳,12.11.2025,2025-11-12,OK,20.04.2026,2026-04-20,OK,auditor_switch_date,12.11.2025,2025-11-12,2025,11,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,30,False,,,,,,,,,NOT_ENOUGH_DATA,28, נקסטייג׳,12.11.2025,20.04.2026,,,,,,,1,0,,,353000,-5536000,-347000
אפריקה מגורים,23/07/2020,2020-07-23,OK,17/03/2021,2021-03-17,OK,auditor_switch_date,23/07/2020,2020-07-23,2020,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,31,False,,,,,,,,,NOT_ENOUGH_DATA,29,אפריקה מגורים,23/07/2020,17/03/2021,,,,,,,0,0,,,3673485000,1015459000,3044000
דורסל,7.1.2026,2026-01-07,OK,31.03.2026,2026-03-31,OK,auditor_switch_date,7.1.2026,2026-01-07,2026,1,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,32,False,,,,,,,,,NOT_ENOUGH_DATA,30,דורסל,7.1.2026,31.03.2026,,,,,,,0,0,,,1350793000,1350793000,59368000
תמיס,12.01.2026,2026-01-12,OK,31.03.2026,2026-03-31,OK,auditor_switch_date,12.01.2026,2026-01-12,2026,1,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,33,False,,,,,,,,,NOT_ENOUGH_DATA,31,תמיס,12.01.2026,31.03.2026,,,,,,,0,0,,,93069000,78682000,73734000
ישראכרט,16/07/2020,2020-07-16,OK,17.03.2021,2021-03-17,OK,auditor_switch_date,16/07/2020,2020-07-16,2020,7,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,34,False,,,,,,,,,NOT_ENOUGH_DATA,32,ישראכרט,16/07/2020,17.03.2021,,,,,,,0,1,,,23215000000,2373000000,10000000
בליץ,28.01.2026,2026-01-28,OK,20.04.2026,2026-04-20,OK,auditor_switch_date,28.01.2026,2026-01-28,2026,1,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,1,0,Big to Small,READY_FOR_TICKER_MAPPING,35,False,,,,,,,,,NOT_ENOUGH_DATA,33,בליץ,28.01.2026,20.04.2026,,,,,,,1,0,,,8665000,-1136000,-2878000
פסיירקס ביוטק,12.02.2026,2026-02-12,OK,25.03.2026,2026-03-25,OK,auditor_switch_date,12.02.2026,2026-02-12,2026,2,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,36,False,,,,,,,,,NOT_ENOUGH_DATA,34,פסיירקס ביוטק,12.02.2026,25.03.2026,,,,,,,0,0,,,1441000,26000,2092000
מלם-תים אחזקות,8.4.2024,2024-04-08,OK,13.06.2024,2024-06-13,OK,auditor_switch_date,8.4.2024,2024-04-08,2024,4,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,0,Small to Small,READY_FOR_TICKER_MAPPING,37,False,,,,,,,,,NOT_ENOUGH_DATA,35,מלם-תים אחזקות,8.4.2024,13.06.2024,,,,,,,0,0,,,11675434000,5398190000,552111000
מיטק,2020-10-06 00:00:00,2020-10-06,OK,22.04.2021,2021-04-22,OK,auditor_switch_date,2020-10-06 00:00:00,2020-10-06,2020,10,OK,False,ELIGIBLE_FOR_PRICE_EXTRACTION,,,0,1,Small to Big,READY_FOR_TICKER_MAPPING,38,False,,,,,,,,,NOT_ENOUGH_DATA,36,מיטק,2020-10-06 00:00:00,22.04.2021,,,,,,,0,1,,,7554000,6426000,-10836000
